deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id
ABO,OTN-Global,ABO-Nar03-04-CT CENTI-943-2017-09-21T21,OTN-GlobalABOABO-Nar03-04-CT CENTI-943-2017-09-21T21,Star-Oddi,CT CENTI,943,67.6655,-58.88583,2017-09-22T00:24:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Nar03-04
ABO,OTN-Global,ABO-Nar03-04-RBR TEMP-54068-2016,OTN-GlobalABOABO-Nar03-04-RBR TEMP-54068-2016,RBR,RBR TEMP,54068,67.66565,-58.8859,2016-09-18T12:22:00Z,2017-09-21T15:41:00Z,ABO,ManmadePlatform,ABO_Nar03-04
ABO,OTN-Global,ABO-Baff06-02-STAR ODDI DST CT-58917-2017-09-25T18,OTN-GlobalABOABO-Baff06-02-STAR ODDI DST CT-58917-2017-09-25T18,Star-Oddi,STAR ODDI DST CT,58917,67.68533333,-62.37283,2017-09-25T21:47:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff06-02
ABO,OTN-Global,ABO-Baff07-03-STAR ODDI DST CT-58937-2017-09-24T15,OTN-GlobalABOABO-Baff07-03-STAR ODDI DST CT-58937-2017-09-24T15,Star-Oddi,STAR ODDI DST CT,58937,66.61383333,-59.92567,2017-09-24T18:01:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff07-03
ABO,OTN-Global,ABO-Baff01-02-STAR ODDI DST CT-58941-2017-10-01T13,OTN-GlobalABOABO-Baff01-02-STAR ODDI DST CT-58941-2017-10-01T13,Star-Oddi,STAR ODDI DST CT,58941,72.00966667,-71.34383,2017-10-01T16:57:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff01-02
ABO,OTN-Global,ABO-Baff04-02-RBR DO LOGGER-79866-2017-10-07T20,OTN-GlobalABOABO-Baff04-02-RBR DO LOGGER-79866-2017-10-07T20,RBR,RBR DO LOGGER,79866,68.9785,-64.18317,2017-10-07T23:26:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff04-02
ABO,OTN-Global,ABO-Baff01-02-RBR DO LOGGER-79867-2017-10-01T13,OTN-GlobalABOABO-Baff01-02-RBR DO LOGGER-79867-2017-10-01T13,RBR,RBR DO LOGGER,79867,72.00966667,-71.34383,2017-10-01T16:57:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff01-02
ABO,OTN-Global,ABO-Baff06-02-RBR DO LOGGER-79868-2017-09-25T18,OTN-GlobalABOABO-Baff06-02-RBR DO LOGGER-79868-2017-09-25T18,RBR,RBR DO LOGGER,79868,67.68533333,-62.37283,2017-09-25T21:47:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff06-02
ABO,OTN-Global,ABO-Nar01-01-RBR-100816-2016,OTN-GlobalABOABO-Nar01-01-RBR-100816-2016,RBR,RBR,100816,68.1608,-59.7771,2016-09-18T06:06:00Z,2017-09-20T21:01:00Z,ABO,ManmadePlatform,ABO_Nar01-01
ABO,OTN-Global,ABO-Baff04-02-VR2W-113630-2017-10-07T20,OTN-GlobalABOABO-Baff04-02-VR2W-113630-2017-10-07T20,VEMCO,VR2W,113630,68.9785,-64.18317,2017-10-07T23:26:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff04-02
ABO,OTN-Global,ABO-Baff04-02-VR2W-113630-2016,OTN-GlobalABOABO-Baff04-02-VR2W-113630-2016,VEMCO,VR2W,113630,68.97877,-64.18338,2016-09-06T12:20:00Z,2017-10-07T21:11:00Z,ABO,ManmadePlatform,ABO_Baff04-02
ABO,OTN-Global,ABO-Nar04-03-VR2W-113633-2017-09-21T18,OTN-GlobalABOABO-Nar04-03-VR2W-113633-2017-09-21T18,VEMCO,VR2W,113633,67.45381667,-58.28548,2017-09-21T21:13:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Nar04-03
ABO,OTN-Global,ABO-Nar04-03-VR2W-113633-2016,OTN-GlobalABOABO-Nar04-03-VR2W-113633-2016,VEMCO,VR2W,113633,67.45382,-58.28622,2016-09-18T15:56:00Z,2017-09-21T19:36:00Z,ABO,ManmadePlatform,ABO_Nar04-03
ABO,OTN-Global,ABO-Nar04-01-VR2W-113639-2017-09-21T18,OTN-GlobalABOABO-Nar04-01-VR2W-113639-2017-09-21T18,VEMCO,VR2W,113639,67.4064,-58.46565,2017-09-21T21:52:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Nar04-01
ABO,OTN-Global,ABO-Nar04-01-VR2W-113639-2016,OTN-GlobalABOABO-Nar04-01-VR2W-113639-2016,VEMCO,VR2W,113639,67.40643,-58.46613,2016-09-18T16:48:00Z,2017-09-21T18:03:00Z,ABO,ManmadePlatform,ABO_Nar04-01
ABO,OTN-Global,ABO-Baff04-03-VR2W-113648-2016,OTN-GlobalABOABO-Baff04-03-VR2W-113648-2016,VEMCO,VR2W,113648,68.97877,-64.25613,2016-09-06T11:52:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff04-03
ABO,OTN-Global,ABO-Baff04-01-VR2W-113649-2017-10-07T20,OTN-GlobalABOABO-Baff04-01-VR2W-113649-2017-10-07T20,VEMCO,VR2W,113649,68.97783333,-64.086,2017-10-07T23:26:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff04-01
ABO,OTN-Global,ABO-Baff04-01-VR2W-113649-2016,OTN-GlobalABOABO-Baff04-01-VR2W-113649-2016,VEMCO,VR2W,113649,68.9778,-64.08512,2016-09-06T12:49:00Z,2017-10-07T20:20:00Z,ABO,ManmadePlatform,ABO_Baff04-01
ABO,OTN-Global,ABO-Nar04-02-VR2W-113654-2016,OTN-GlobalABOABO-Nar04-02-VR2W-113654-2016,VEMCO,VR2W,113654,67.43628,-58.33345,2016-09-18T16:14:00Z,2017-09-21T19:00:00Z,ABO,ManmadePlatform,ABO_Nar04-02
ABO,OTN-Global,ABO-Nar03-02-VR2W-113667-2017-09-21T21,OTN-GlobalABOABO-Nar03-02-VR2W-113667-2017-09-21T21,VEMCO,VR2W,113667,67.64733333,-58.9475,2017-09-22T00:11:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Nar03-02
ABO,OTN-Global,ABO-Nar03-02-VR2W-113667-2016,OTN-GlobalABOABO-Nar03-02-VR2W-113667-2016,VEMCO,VR2W,113667,67.6475,-58.94755,2016-09-18T13:00:00Z,2017-09-21T14:45:00Z,ABO,ManmadePlatform,ABO_Nar03-02
ABO,OTN-Global,ABO-Baff06-02-VR2W-122783-2017-09-25T18,OTN-GlobalABOABO-Baff06-02-VR2W-122783-2017-09-25T18,VEMCO,VR2W,122783,67.68533333,-62.37283,2017-09-25T21:47:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Baff06-02
ABO,OTN-Global,ABO-Baff06-02-VR2W-122783-2016,OTN-GlobalABOABO-Baff06-02-VR2W-122783-2016,VEMCO,VR2W,122783,67.68628,-62.37112,2016-09-01T05:12:00Z,2017-09-25T18:43:00Z,ABO,ManmadePlatform,ABO_Baff06-02
ABO,OTN-Global,ABO-Nar05-02-VR2W-122785-2016,OTN-GlobalABOABO-Nar05-02-VR2W-122785-2016,VEMCO,VR2W,122785,67.2495,-60.38247,2016-08-31T21:50:00Z,2017-09-22T23:18:00Z,ABO,ManmadePlatform,ABO_Nar05-02
ABO,OTN-Global,ABO-Nar05-02-VR2W-122785-2017-09-22T22,OTN-GlobalABOABO-Nar05-02-VR2W-122785-2017-09-22T22,VEMCO,VR2W,122785,67.2555,-60.382,2017-09-23T01:40:00Z,1900-01-01T00:00:00Z,ABO,ManmadePlatform,ABO_Nar05-02
